Flights from Iran,
Airlines,Destinations
Aeroflot,Moscow–Sheremetyevo
Air Arabia,Sharjah
AnadoluJet,Istanbul–Sabiha Gökçen (begins 29 March 2020)[20]
Armenia Airways,Yerevan[21]
ATA Airlines,"Kazan, Najaf (Suspended)"
,"Charter: Batumi, Denizli, İzmir, Tbilisi"
Austrian Airlines,Vienna (Suspended until 28 March 2020)
Bravo Airways,Kiev–Zhuliany
Buta Airways,Baku[22]
Cham Wings Airlines,Damascus[23]
China Southern Airlines,"Beijing–Capital, Ürümqi (Both Suspended)[24]"
Corendon Airlines,"Charter: Antalya, Kayseri"
Emirates,Dubai–International (Suspended)
flydubai,Dubai–International (Suspended)
Freebird Airlines,"Charter: Adana, Antalya, Istanbul, İzmir (All Suspended)"
Iran Air,"Amsterdam, Ankara (Suspended), Baghdad (Suspended), Baku,[25] Beirut, Cologne/Bonn, Dubai–International, Frankfurt, Gothenburg, Hamburg, Istanbul (Suspended), Karachi, Kuwait,[26] London–Heathrow, Milan–Malpensa, Mumbai, Najaf, Paris–Charles de Gaulle,[27] Rome–Fiumicino, Stockholm–Arlanda, Tbilisi,[28] Vienna"
,"Seasonal: Denizli,[29] Isparta,[30] İzmir,[31] Jeddah, Medina, Moscow–Sheremetyevo[32]"
Iran Aseman Airlines,"Istanbul (Suspended), Izmir (Suspended),[33] Najaf (Suspended)"
,"Seasonal charter: Isparta, Moscow–Vnukovo"
Iraqi Airways,"Baghdad, Najaf, Nasiriyah (All Suspended)"
Kuwait Airways,Kuwait (Suspended)
Lufthansa,Frankfurt (Suspended until 28 March 2020)
Mahan Air,"Almaty, Ankara (Suspended), Baku, Bangkok–Suvarnabhumi, Barcelona, Beijing–Capital, Caracas, Damascus,[34] Delhi, Dubai–International, Erbil, Guangzhou, Istanbul (Suspended), Kabul, Kuala Lumpur–International, Lahore, Moscow–Vnukovo, Najaf, Shanghai–Pudong, Shenzhen, Sulaimaniyah, Yerevan"
,"Seasonal: Athens, Belgrade (resumes 26 April 2020), Casablanca, Colombo–Bandaranaike, Denpasar/Bali, Denizli (Suspended), Goa, Isparta (Suspended), İzmir (Suspended), Larnaca, Marrakesh, Mauritius, Phuket, Saint Petersburg, Sochi, Varna[35]"
Meraj Airlines,"Seasonal charter: Baghdad (Suspended), Denizli (Suspended), Goa, Istanbul (Suspended), Najaf (Suspended)"
Nordwind Airlines,"Seasonal charter: Moscow–Sheremetyevo, Saint Petersburg"
Oman Air,Muscat (suspended)
Onur Air,"Seasonal charter: Adana(Suspended), Antalya(Suspended)"
Pegasus Airlines,Istanbul–Sabiha Gökçen (Suspended)
,"Seasonal charter: Adana(Suspended), Antalya(Suspended)"
Qatar Airways,Doha
Qeshm Air,"Brussels,[36][37] Hamburg,[38] Istanbul (Suspended), Najaf (Suspended)"
,"Seasonal charter: Denizli(Suspended), İzmir(Suspended), Sochi, Tbilisi (Suspended), Varna, Yerevan (Suspended)"
SalamAir,Muscat (suspended)[39]
SunExpress,"Seasonal: İzmir (Suspended),[40] Trabzon[41] (Suspended)"
Syrian Air,Charter: Damascus[42]
Taban Air,"Najaf (Suspended), Tbilisi (Suspended)"
Tailwind Airlines,"Charter: Adana (Suspended), Antalya (Suspended)"
Turkish Airlines,"Istanbul (Suspended),[43] Istanbul–Sabiha Gökçen (Suspended, ends 28 March 2020)[20]"

Flights from China,
Aeroflot,Moscow–Sheremetyevo
AirAsia X,Kuala Lumpur–International
Air Canada,"Montréal–Trudeau, Toronto–Pearson, Vancouver (all suspended until 29 April 2020)[16][17]"
Air China,"Bangkok–Suvarnabhumi, Barcelona,[18] Beijing–Capital, Beijing–Daxing,[19] Changchun, Chengdu, Chongqing, Dalian, Frankfurt, Fukuoka, Fuyuan, Guangzhou, Guilin, Guiyang, Haikou, Harbin, Hohhot, Kunming, Lanzhou, London–Gatwick,[20] Milan–Malpensa (suspended until 29 April 2020),[21] Munich, Nagoya–Centrair, Nanning, Osaka–Kansai, Paris–Charles de Gaulle, Sendai, Shenzhen, Taipei–Taoyuan, Tianjin, Tokyo–Narita, Wenzhou, Xi'an, Xichang, Yinchuan"
Air China,Dalian
operated by Dalian Airlines,
Air France,Paris–Charles de Gaulle
Air India,Delhi (suspended until 30 June 2020)[22]
Air Koryo,Pyongyang
Air Macau,Macau
All Nippon Airways,"Nagoya–Centrair, Osaka–Kansai, Tokyo–Haneda, Tokyo–Narita"
Asiana Airlines,"Busan, Seoul–Incheon"
Beijing Capital Airlines,Lijiang
Cambodia Angkor Air,"Phnom Penh,[28] Siem Reap"
Cathay Dragon,Hong Kong
Cathay Pacific,Hong Kong
Chengdu Airlines,Chengdu
China Airlines,"Kaohsiung, Taipei–Taoyuan"
China Southern Airlines,"Bangkok–Suvarnabhumi,[48] Changbaishan, Changchun, Changsha, Chengdu, Dalian, Dandong, Daqing, Fukuoka, Guangzhou, Guilin, Guiyang, Haikou, Harbin, Ho Chi Minh City, Jiamusi, Jieyang, Kunming, Mangshi, Nagoya–Centrair, Nanning, Nanyang, Osaka–Kansai, Pattaya–U-Tapao, Qingdao, Quanzhou, Sanya, Seoul–Incheon, Shenyang, Shenzhen, Taipei–Taoyuan, Tokyo–Narita,[49] Urumqi, Wuhan, Xining, Yanji, Yinchuan, Zhengzhou, Zhuhai"
,Seasonal: Aksu
China United Airlines,"Beijing–Daxing, Shijiazhuang, Tianjin"
Delta Air Lines,"Atlanta, Detroit, Los Angeles, Seattle/Tacoma (all suspended until 30 April 2020)[50]"
Donghai Airlines,Quanzhou
Eastar Jet,"Cheongju, Jeju (suspended until 20 February 2020),[51][52] Seoul–Incheon[53]"
Emirates,Dubai–International (suspended)[54]
Ethiopian Airlines,Addis Ababa
Etihad Airways,Abu Dhabi (suspended)[55]
EVA Air,"Kaohsiung, Taipei–Taoyuan"
Finnair,Helsinki (suspended until 29 February 2020)[56]
Fuzhou Airlines,Fuzhou
Garuda Indonesia,"Denpasar/Bali, Jakarta–Soekarno-Hatta (both suspended until further information)[57]"
Hainan Airlines,"Beijing–Capital, Boston, Changsha, Chongqing, Dalian, Guangzhou, Haikou, Hohhot, Seattle/Tacoma, Shenzhen, Taiyuan, Weifang, Xi'an"
Hebei Airlines,Shijiazhuang
Japan Airlines,"Nagoya–Centrair, Osaka–Kansai, Tokyo–Haneda, Tokyo–Narita"
Juneyao Airlines,"Athens (begins 23 June 2020),[62] Bangkok–Suvarnabhumi, Bayannur, Beihai, Cebu, Changbaishan, Changchun, Changsha, Changzhi, Chiang Mai, Chongqing, Dalian, Dongying, Fuzhou, Guilin, Guiyang, Guyuan, Haikou, Hailar, Hanzhong, Harbin, Helsinki,[63] Hohhot, Hong Kong, Huizhou, Istanbul (begins 24 June 2020),[62] Jeju, Jinchang, Kalibo, Kaohsiung, Kunming, Lanzhou, Lijiang, Linfen, Longyan, Macau, Mianyang, Nagoya–Centrair, Naha, Nanning, Osaka–Kansai, Phuket, Qianjiang, Qingdao, Sanming, Sanya, Sapporo–Chitose, Shenyang, Shenzhen, Singapore, Songyuan, Taipei–Taoyuan, Tianjin, Tokyo–Haneda, Tokyo–Narita,[64] Tongliao, Tongren, Ulanqab, Urumqi, Vladivostok,[65] Wuhan, Xiamen, Xi'an, Xiangyang, Xining, Yinchuan, Yonago,[66] Yueyang, Zhangjiajie, Zhangye, Zhengzhou, Zhongwei"
,Seasonal: Irkutsk
Korean Air,"Busan, Seoul–Incheon"
Kunming Airlines,Kunming
Lao Airlines,Vientiane[68]
Lucky Air,Kunming
Mahan Air,Tehran–Imam Khomeini
Malaysia Airlines,"Kota Kinabalu, Kuala Lumpur–International"
NokScoot,Bangkok–Don Mueang[70]
Peach,"Osaka–Kansai, Tokyo–Haneda (both flights suspended until 28 March 2020)[71]"
Philippine Airlines,Manila
Philippine Airlines,Kalibo[72]
operated by PAL Express,
Philippines AirAsia,"Kalibo, Manila (both suspended until 2 March 2020)[73]"
Qantas,Sydney (suspended until 31 March 2020)[74]
Qatar Airways,Doha (suspended until 29 February 2020)[75]
Qingdao Airlines,Qingdao
Royal Brunei Airlines,Bandar Seri Begawan (suspended until 28 February 2020)[76]
S7 Airlines,Vladivostok (suspended until 28 March 2020)[77]
,Seasonal: Novosibirsk
Scandinavian Airlines,Copenhagen (suspended)[78]
Shandong Airlines,"Harbin, Qingdao, Xiamen, Zhuhai"
Shanghai Airlines,"Anshan, Bangkok–Suvarnabhumi, Baotou, Budapest, Busan, Changchun, Changsha, Chengdu,[79] Chiang Mai, Dalian, Denpasar/Bali, Guangzhou, Guilin, Guiyang, Haikou, Harbin, Hengyang, Hong Kong, Jieyang, Jining, Jinzhou, Karamay, Kota Kinabalu, Kuala Lumpur–International, Kunming, Lanzhou, Lianyungang, Linfen, Linyi, Macau,[80] Melbourne, Mianyang, Nanning, Ordos, Osaka–Kansai, Phuket, Qinhuangdao, Qionghai, Rizhao, Sanya, Seoul–Incheon, Shenyang, Taipei–Songshan, Tangshan, Tianjin, Tokyo–Haneda, Tongliao, Toyama, Turpan, Urumqi, Wanzhou, Weihai, Wenzhou, Xi'an,[81] Xinzhou, Yichang, Yinchuan, Yuncheng, Zhangjiajie, Zhanjiang, Zhengzhou"
,"Seasonal: Krabi, Malé"
Shenzhen Airlines,"Nanchang, Quanzhou, Shenyang, Shenzhen"
Sichuan Airlines,"Chengdu, Chongqing, Harbin, Kunming, Saipan, Sanya, Xi'an"
Singapore Airlines,Singapore
Sky Angkor Airlines,Sihanoukville[82]
Spring Airlines,"Anshun, Bangkok–Suvarnabhumi, Beihai, Changbaishan, Changchun, Changsha, Chiang Mai, Chongqing, Dalian, Guilin, Harbin, Hong Kong, Ibaraki, Jeju, Jieyang, Kaohsiung, Kota Kinabalu, Krabi, Lanzhou, Macau, Mianyang, Nagoya–Centrair, Nanning, Nha Trang, Osaka–Kansai, Phnom Penh, Phuket, Qingyang, Saga, Sanya, Sapporo–Chitose, Shenyang, Shijiazhuang, Shiyan, Singapore, Surat Thani, Taipei–Taoyuan, Taiyuan, Takamatsu, Tianjin, Tokyo–Haneda, Tokyo–Narita,[83] Yangon,[84] Zhangjiajie, Zhangye"
Spring Airlines Japan,Tokyo–Narita
SriLankan Airlines,Colombo–Bandaranaike
Thai AirAsia X,Bangkok–Don Mueang
Thai Airways,Bangkok–Suvarnabhumi
Thai Lion Air,"Bangkok–Don Mueang,[86] Phuket"
T'way Air,Daegu
